name,Year,Series,Value,Source
Cayman Islands,2020,Sex ratio (males per 100 females),101.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2020,Population aged 0 to 14 years old (percentage),16.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2020,Population aged 60+ years old (percentage),11.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2020,Population density,279.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2020,Surface area (thousand km2),0,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Cayman Islands,2022,Population mid-year estimates (millions),0.07,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2022,Population mid-year estimates for males (millions),0.03,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2022,Population mid-year estimates for females (millions),0.03,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2022,Sex ratio (males per 100 females),101.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2022,Population aged 0 to 14 years old (percentage),16.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2022,Population aged 60+ years old (percentage),13.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2022,Population density,285.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Central African Republic,2010,Population mid-year estimates (millions),4.66,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Central African Republic,2010,Population mid-year estimates for males (millions),2.34,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Central African Republic,2010,Population mid-year estimates for females (millions),2.32,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Central African Republic,2010,Sex ratio (males per 100 females),100.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Central African Republic,2010,Population aged 0 to 14 years old (percentage),46.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Central African Republic,2010,Population aged 60+ years old (percentage),3.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Central African Republic,2010,Population density,7.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Central African Republic,2015,Population mid-year estimates (millions),4.82,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Central African Republic,2015,Population mid-year estimates for males (millions),2.41,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Central African Republic,2015,Population mid-year estimates for females (millions),2.41,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Central African Republic,2015,Sex ratio (males per 100 females),100.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Central African Republic,2015,Population aged 0 to 14 years old (percentage),48.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
